"Param","Unit"
"Bicarbonate","g/m^3"
"Biochem ox demand filtered 5d","g/m^3"
"Biochem ox demand in kg/d","kg/d"
"Biochemical Oxygen Demand 5d","g/m^3"
"Biochemical Oxygen Demand 5d Loading","kg/ha"
"bis-2-ethylhexyl-Adipate","mg/m^3"
"bis-2-ethylhexyl-Phthalate","mg/m^3"
"Black Disk Horizontal","m"
"Black Disk Vertical","m"
"Boron Dissolved","g/m^3"
"Boron Total","g/m^3"
"Boron Total Recoverable","g/m^3"
"BPL Rock Type","%"
"Bromide","g/m^3"
"Bromine","g/m^3"
"Bucraa Rock Type","%"
"Cadmium","g/m^3"
"Cadmium Acid Soluble","g/m^3"
"Cadmium Dissolved","g/m^3"
"Cadmium Total","g/m^3"
"Cadmium Total Recoverable","g/m^3"
"Caesium Acid Soluble","g/m^3"
"Caesium Dissolved","g/m^3"
"Caesium Total","g/m^3"
"Calcium Base Saturation","%"
"Calcium Dissolved","g/m^3"
"Calcium Hardness","g/m^3 CaCO3"
"Calcium Total","g/m^3"
"Campylobacter","MPN/100ml"
"Carbon dioxide","%"
"Carbon Monoxide (Landfill)","ppm"
"Carbon-13","delta per mille"
"Carbonaceous Biochemical Oxygen Demand","g/m^3"
"Carbonate Alkalinity","g/m^3"
"Cation (landfill)","mEq/l"
"Cation Anion Ratio","Ratio"
"Cation Exchange Capacity","meq/100g"
"Cd (Dis)","mg/l"
"Ceratium","cells/ml"
"Chemical Oxygen Demand","g/m^3"
"Chemical Oxygen Demand in kg/d","kg/d"
"Chinese Rock Type","%"
"Chlorella","g/m^3"
"Chloride","g/m^3"
"Chlorine Total","g/m^3"
"Chlorite","g/m^3"
"Chlorobenzene","mg/m^3"
"Chlorophenol","mg/m^3"
"Chlorophyll a","mg/m^3"
"Chlorophyll a per area","mg/m^2"
"Chlorpyrifos","mg/m^3"
"Chromium","g/m^3"
"Chromium 3","g/m^3"
"Chromium 6","g/m^3"
"Chromium Acid Soluble","g/m^3"
"Chromium Dissolved","g/m^3"
"Chromium Total","g/m^3"
"Chromium Total Recoverable","g/m^3"
"Chrysene","mg/m^3"
"cis-Chlordane","g/m^3"
"cis-Permethrin","mg/m^3"
"Cl (Dis)","mg/l"
"Clarity Calculated","m"
"Coal Dust","mg/m^2/30d"
"Coal Fraction","%"
"Cobalt Total","g/m^3"
"Cobalt Total Recoverable","g/m^3"
"COD-filtered","g/m^3"
"Combined Available Chlorine","g/m^3"
"Combined Metals","g/hr"
"Conductivity 1st Volume","uS/cm"
"Conductivity 2nd Volume","uS/cm"
"Copper Acid Soluble","g/m^3"
"Copper Dissolved","g/m^3"
"Copper Total","g/m^3"
"Count","None"
"Cryptosporidium","#/l"
"Current","A"
"Cyanide Total","g/m^3"
"Cyanide WAD","g/m^3"
"DCP bad characters","None"
"DCP DelivryDelayTime","s"
"DCP frequency drift","Hz"
"DCP signal mod index","None"
"DCP Sig/Noise ratio","None"
"DCP TransmittedPower","dBm"
"delta - BHC","g/m^3"
